"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"Only use for short rides","https://itunes.apple.com/us/reviews/id419374724","Kantaco","3.440.10003","3","Anything longer than a few miles is going to stack up fast. Don’t even bother using the food section, you can’t cancel orders from the Uber app. You have to download UberEats to cancel any order, but just use DoorDash instead. It’s quicker, cheaper, and doesn’t Mickey Mouse you trying to cancel an order because there’s no drivers. I got $30 off a $34 order and still wound up having to pay $25 in fees. Then when I cancelled because my order was in limbo for two hours, I was charged a $6 cancellation fee where DoorDash gives you credit back. Wouldn’t recommend, just take the bus.",2021-01-20 00:25:35
"uber","https://itunes.apple.com/us/reviews/id548539280","AlmightyOf2300","3.440.10003","3","i like uber i really do but lyft has better prices <U+0001F615>",2021-01-19 21:33:40
"No way to contact customer service if issues arise","https://itunes.apple.com/us/reviews/id776376662","J.Jones54","3.440.10003","1","You guys need to have a customer service phone line to contact if issues arise and persist! This is poor service trying to get help through articles that don’t help the exact issue we have!",2021-01-19 21:04:48
"Was charged over $60 and a refund was refused.","https://itunes.apple.com/us/reviews/id224776285","Megalinoxo","3.440.10003","1","I have used Uber since it’s inception and never will again after the experience I had with customer service. I can’t get a single person to talk to me. Only automated responses saying they will give me a $3 credit. I was overcharged by $60. Disgusted.",2021-01-19 20:52:15
"Uber stupider","https://itunes.apple.com/us/reviews/id1156217139","adam interstellar","3.440.10003","2","Uber says no cars available.",2021-01-19 16:38:34
"Find a different service","https://itunes.apple.com/us/reviews/id114156459","Andysmccoy","3.440.10003","1","I can tell the customer isn’t the priority here. I won’t be using Uber eats or Uber again. Refund in the form of Uber cash - you got to be kidding. This is the second or third consecutive time my order has been past the “latest arrival time”. Had you all been able to refund my order, you would’ve retained a repeat business customer, and earned more than the worth of the refund over time. Uber, you’re not the only food service in town. Start treating people who use your services better.",2021-01-19 15:05:22
"Customer service","https://itunes.apple.com/us/reviews/id628734914","jahdjxbdkdkd","3.440.10003","2","The app is terrible when it come to help , they act like you are getting help from a person when its really a automated service and then they don't even resolve the problem thats very resolve-able lyft is better tbh",2021-01-19 14:17:12
"Just the worst","https://itunes.apple.com/us/reviews/id662852421","Elena6854937","3.440.10003","1","It’s just so frustrating dealing with Uber. Pretty much every time I order a ride it put 2 holds on my card. Sometimes I just request a ride, it loads for a while, puts a hold on a card, keeps me waiting for minutes while Uber is allegedly “looking for a driver” and then it just throws me back to home page of the app. It’s impossible to reach support. Nope. Absolutely no way. Right now I’m trying to use my Tesla voucher listed as my payment method and Uber still keeps charging and double charging my card. I’d never go back to Uber if not for this voucher. Save yourself sometime and download Lyft or even call a regular cab - should be faster and cheaper",2021-01-19 07:27:10
"Fix your bug","https://itunes.apple.com/us/reviews/id1057599067","Doveynn","3.440.10003","3","ok so i ise uber to get to work 7/10 times a week. ive been experiencing a bug where i cant see how close or far my driver is. example: i got a driver and it says he'll be there in 13 minutes. ok cool so i wait and check 6 minutes later and it still says he'lll be there in 13 minutes. im like what the fuck its late im tryna go home after work yk so i send him this text and im like dude what the f?? are you coming or not? do i need to cancel? and then i check again and bam hes 1 minute away. i felt super bad and to make it worse he was an absolute sweetheart <U+0001F494>",2021-01-19 05:21:28
"Wrong person picked up-refund refused","https://itunes.apple.com/us/reviews/id1250808755","jwangley","3.440.10003","1","Customer service is terrible and there is no # to talk to someone. The driver picked up the wrong person and I was not able to get a refund I will not use this app again.",2021-01-19 04:45:02
"Many issues","https://itunes.apple.com/us/reviews/id1247181833","Leonboyd","3.440.10003","1","I’m sorry but I can’t rate it higher then 2 stars. I’ve had many many issues using this app.
It’s more an inconvenience to me then anything. Since I live in an area not close to many Uber drivers it’s harder for me to even get a ride.
Most of the time it’ll stay at the “connecting you to a driver” stage then fail to even connect me to one anyways. 
I’m not even able to even schedule a ride if I could because it’ll usually tell me the pick up area is out of range. 
If some of those issues were fixed maybe I could give it a higher rating.
Now also giving me problems adding funds to my Uber cash even though I know I have enough money to add more funds.",2021-01-19 02:31:33
"Unavailable","https://itunes.apple.com/us/reviews/id865141870","im_stewie_griffin","3.439.10000","1","I’m not sure if it’s the terms and conditions but the destinations that I ALWAYS go to are unavailable now. I can no longer use Uber.",2021-01-19 00:03:14
"Terrible Customer Service","https://itunes.apple.com/us/reviews/id182169393","Nelaschen","3.439.10000","1","I was unable to add payment method to my Uber account after I downloaded this app and when I try to reach out to their customer support team they told me my payment method has been suspended for an activity violating their terms on the app I found it strange as I have not even had any activities on my account yet...",2021-01-18 16:45:54
"Never any available drivers","https://itunes.apple.com/us/reviews/id496097289","Theodore Israel","3.439.10000","1","If you live in a major city then this is useful. But apparently there are no drivers in west pennsylvania, and uber has the gaul to send me a msg “planning on traveling soon? Schedule a trip” just a useless app",2021-01-18 12:02:17
"Charged me for Uber pass","https://itunes.apple.com/us/reviews/id42950874","bkhaycook","3.439.10000","1","I’ve liked Uber for years and never had a problem until they started charging me and my other family members for “Uber pass”. I have never purchased this pass, neither has anyone in my family, but it seems I have been charged for an Uber pass. This also happened to my mother and was hard to resolve. So if anyone downloads Uber I recommend checking your bank account regularly to make sure they don’t charge you, apparently this is common.",2021-01-18 09:07:39
"Me robaron","https://itunes.apple.com/us/reviews/id536739141","noauber","3.439.10000","1","Tengan mucho cuidado con la política de limpieza de la App, resulta qué pedí un viaje que me costó $16 dólares, después de dos días me llega un cobro extra de $20 dólares por concepto de limpieza del automóvil al que me subí, resulta que el chofer reportó que en mi viaje yo ensucié su carro y mando una foto en la que se ve un mancha que yo desconozco totalmente, en ningún momento me dieron la certeza de que yo hice tal daño a la unidad el cual se ve claramente que con trapo con agua se quita la mancha y por ese chistecito me cobraron más de lo que me costó en si el viaje, se me hizo un robo en despoblado por ese motivo mi familia y yo dejamos de utilizar la App es una porquería.",2021-01-18 01:54:39
"Horrible Customer Service","https://itunes.apple.com/us/reviews/id1233175331","AliciaS4","3.439.10000","1","I have requested to speak to customer service for several days now and I have not heard anything back from them nor is there any messages on the Uber app or Uber website. I canceled a ride within 2 1/2 minutes after requesting the ride. The driver did not get out of the city that they were in let alone make it to my city. From what I could see on the Uber app the driver did not drive more than 2 miles.I didn’t even see them pass a red light on a road that has an excessive amount of red lights. I was only supposed to be charge $16.76 for the trip but since I canceled the ride Uber canceled the $16.76 charge and instead I was charged an even $17!",2021-01-17 23:46:21
"Poderia penalizar motoristas que cancelam sem causa aparente","https://itunes.apple.com/us/reviews/id956255379","mmurilossilva","3.439.10000","4","Sou profissional de saude em Manaus e uso uber pra ir pro trabalho. Hoje um motorista me deixou esperando e quando chegou, passou direto na porta da minha casa cancelando em seguida. Existe um toque de recolher e proximo das 19h fica mais difícil conseguir um carro. Se não queria me levar, então que não me deixasse perdendo tempo e correndo risco de não conseguir ir pro trabalho... Ja imaginou eu ter que ligar aos colegas dizendo que iria faltar? A frustração da equipe de ter que trabalhar mais por falta de alguém. A vida da gente ja ta tão difícil. Ainda aparece esse tipo pessoa sem nenhuma empatia. Espero que ele a família estejam bem e saudáveis.",2021-01-17 22:38:56
"Payment Glitch???","https://itunes.apple.com/us/reviews/id1122755700","javonwlll","3.439.10000","1","I was charged $24.99 for something that I never confirmed. I put in a help request but am not getting much of a response. Please help!",2021-01-17 21:29:54
"Could not find bikes","https://itunes.apple.com/us/reviews/id1250377938","fksiwndiao","3.439.10000","1","Spent a solid 30 minutes walking around to find bikes... they were either missing or “down for maintenance. Thanks for wasting my time",2021-01-17 20:46:10
"Can take forever to find a ride - Not for emergencies","https://itunes.apple.com/us/reviews/id1207449417","FoodIsTheRoot","3.439.10000","2","Uber drivers should NOT be allowed to set their own price—as they double what is the regular price for just a few blocks. There has to be a set money cap for distance.
I was going down a few blocks to my workplace, $10—said the estimation. Then as i’m awaiting a driver for them to pick, the drivers want to range the price up to $35.
I live in Koreatown, Los Angeles—hitching an Uber to PACOYMA is $30 —somehow going down a few blocks by USC should strike a value of $30?
Yeah, you got me messed up.
Some of these Uber drivers are straight up scammers..do not use this app in emergencies, as they will find away to push the price up $20 just for being grubby and incase of emergency you wont have the security of someone wanting to accept your price, you will simply be out an extra $20 because you needed to get to work, or maybe you were in what could be a suspicious situation.
Lyft. Use lyft. It can be cheaper, and they actually find you a ride in a timely manner.",2021-01-17 18:46:44
"Good luck getting a ride","https://itunes.apple.com/us/reviews/id390579227","ubersucks1233","3.439.10000","1","Wait 40 min just to tell you there are no drivers available",2021-01-17 08:07:59
"It’s not good","https://itunes.apple.com/us/reviews/id1237441222","jordanj941","3.439.10000","1","So many things with this app

I got charged twice for the same trip,
People can cancel on you even if they’re in the wrong location, they also charge your account a couple dollars without notice.",2021-01-17 00:37:38
"Not working!","https://itunes.apple.com/us/reviews/id4498413","Nekcik","3.439.10000","1","I’ve used Uber for years and now it’s not working! The app just shows a big map, no option to request a driver! This is a big disconvenience",2021-01-16 23:44:16
"Don’t use for Uber eats.","https://itunes.apple.com/us/reviews/id376015392","hi im kitty","3.439.10000","2","I’ve used this app for Uber eats a couple times now and my order is either always wrong or never gets delivered. I don’t know if they just use terrible drivers or if there is an issue with the app itself. But for food, don’t use Uber eats.",2021-01-16 20:06:59
"Good Luck","https://itunes.apple.com/us/reviews/id49286149","Honestlyy...","3.439.10000","1","A couple years ago I was traveling out of state and when I attempted to order a ride it said my account was locked due to unusual use (may be a neat security feat. but it was my first time using the app so there was nothing to compare to). Either way, it left me stranded for a few hours while I was trying to work with the robot that is Customer Service, finally I gave up an called for a taxi service. That night I explained that I was traveling and it was me, they said they would fix the problem and DISABLED my account. Fast forward to today trying to get this to work again, after dealing with “customer service” again for the past week going in circles with the robot responses, their final email to me states they are deciding to not life the hold to an account I’ve never been able to use and have given no explanations for anything yet. If it were possible to give 0/5 stars, I would.",2021-01-16 16:25:59
"Why did I get charged for a service I didn’t use?","https://itunes.apple.com/us/reviews/id428195449","Toe-May-Toe-Bay-Sill","3.439.10000","1","After reviewing my bank account, I was charged $24.99 for no reason. I haven’t used this app since November(even my driver failed to show up) I’m not aware of a subscription or a trip I took for this. Please look into this.",2021-01-16 16:25:24
"Charged inappropriately","https://itunes.apple.com/us/reviews/id167775906","meli_mae","3.439.10000","1","I tried to call an Uber last night, when I was finally connected to a driver the driver contacted me and told me to cancel the trip because it was too far out of his way. I said that if he needed to cancel that was fine but that I was uncomfortable doing so because it would charge me. He assured me I wouldn’t get a cancellation fee, but of course I did get the fee. The Uber app does not have any way in which to submit a reimbursement via the app or website for this situation so instead I’ve resorted to the app review.",2021-01-16 15:14:53
"Great app but racist driver","https://itunes.apple.com/us/reviews/id1169342167","hayleyngirigg","3.439.10000","4","My boyfriend needed a ride home from work and his Uber driver canceled because he was Arabic. Love the app and how it connects people but canceling a ride because of someone’s culture is disgusting.",2021-01-16 13:41:16
"Charging for cancellation","https://itunes.apple.com/us/reviews/id1091612703","JazzyLashay31.","3.439.10000","3","I scheduled an Uber for 8:45-8:50. My driver came 20 minutes early. So I told him I’ll be out at 8:45 because that’s the time I scheduled for. He canceled and left. So when I canceled the Uber, they charged me for canceling when my driver was the one who left. Every time I scheduled an Uber, the driver wants me to leave 20 minutes early. I scheduled one for a reason, not to be at work 20 minutes early. I’ve been using Uber for years and since this scheduling has become a thing, drivers are being more impatient. They can see the time I scheduled for, yet they rush me to leave extremely early.",2021-01-16 13:36:55
"Never again","https://itunes.apple.com/us/reviews/id210916052","TBAARS","3.439.10000","1","Waited 45 minutes for a driver to pick me as a ride from SFO. I selected any car I could and said yea to every upgrade that came just so I could get a car. It took 45 minutes before I got a ride. He said “oh that’s crazy there’s hundreds of cars sitting in the lot waiting.” 

I will use Lyft to return to the airport tomorrow.",2021-01-16 07:48:35
"JOHN SULLIVAN: ABOMINATION AND DISGUSTED YOU SUPPORT","https://itunes.apple.com/us/reviews/id87224559","Styleerecordz","3.439.10000","1","Your advertisement including John Sullivan is an abomination and your company should be ashamed to have ever had anything to do with this BLM activist that seeks to destroy property, vandalized property, and incite violence. I will not be agreeing to the terms and want no part of involving Uber ir any entity associated with these violence agitator groups.",2021-01-16 03:42:56
"Uber","https://itunes.apple.com/us/reviews/id1131314671","yuyuyuuuuuuuuuu","3.439.10000","5","Perdí mi cuenta no la puedo recuperar la use el martes por última vez",2021-01-16 02:39:59
"Too many bugs","https://itunes.apple.com/us/reviews/id929114956","ralexeev","3.439.10000","1","Bugs with scheduling rides, changing contact info, Uber pass, the app is just terrible",2021-01-16 01:44:25
"Uber canceled my trip and ended up being late to work","https://itunes.apple.com/us/reviews/id1146092146","pudding!!!!!!!!","3.439.10000","1","I requested a ride then got an email saying my driver cancelled my trip because I was not wearing a mask but I had my mask on and was waiting inside and never even came in contact with my Uber driver never was even notified they were there so then I had to wait the whole process over again for my driver being dishonest",2021-01-16 01:39:58
"Inaccurate","https://itunes.apple.com/us/reviews/id49598333",".Disappointed....","3.439.10000","2","Consistently inaccurate Uber Eats ETA and the food menus often have errors.",2021-01-15 23:38:44
"Support agents.","https://itunes.apple.com/us/reviews/id864528799","old soul 22","3.439.10000","1","I’m honestly sick and tired of the (support) agents , they don’t do their jobs and you get multiple agents that don’t know what they’re talking about and will speak on different issues that was already took care of. There is absolutely no one else to speak to , and I’m tired of my account be bother with I can’t even go in and request a ride without an issue. 0 STARS",2021-01-15 21:49:17
"Worst fake app ever","https://itunes.apple.com/us/reviews/id468997692","Ninjashark31","3.439.10000","1","There are no actual drivers this app gives you nothing. Big waste of time I hope they take this app down.",2021-01-15 18:17:15
"Poor security for Personal Info","https://itunes.apple.com/us/reviews/id26706724","BGAlum","3.439.10000","1","Deleting based on Uber cyber security issues and new terms and conditions.",2021-01-15 15:38:38
"Stop your push notifications your stupid promos <U+0001F621>","https://itunes.apple.com/us/reviews/id39823030","Alejandropf44","3.439.10000","1","I don’t want to order food on you app, I don’t wanna order groceries on your app.  JUST STOP. 

Sick and tired of having on my home screen for no good reason.",2021-01-14 22:55:38
"Drivers Sitting Idle On Purpose","https://itunes.apple.com/us/reviews/id671594939","Goose 9&9","3.439.10000","2","If it were not for a good bit of drivers appearing to be on the way and then going to park somewhere and be idle, it would be alright. I can’t state enough how many times I’ve had to cancel and was charged a fee. It’s like they do it on purpose to collect free dollars or something. I don’t understand why they do that when it clearly asks them if they would like to accept the business or not.",2021-01-14 22:27:19
"Big liberal tech company","https://itunes.apple.com/us/reviews/id463228283","punchintheface808","3.439.10000","1","Seen a billboard that said “If you tolerate racism delete Uber” and not only did I delete Uber, I’m giving them a fat 1 star review looooool snowflakes/they/them/helicopter/transformer gonna come after me after this one <U+0001F633>",2021-01-14 19:40:33
"LOYAL CUSTOMERS","https://itunes.apple.com/us/reviews/id571006105","starletra","3.439.10000","3","Why do Uber only offer codes and money off for new customers only? What about your customers that’s been with y’all for years? Think about it",2021-01-14 19:07:21
"Worst app, charges for nothing","https://itunes.apple.com/us/reviews/id965720518","luz1908","3.439.10000","1","I had an appointment this morning and requested my app hours before, so I got ready with my baby to wait for my Uber and as I was waiting outside wearing a mask he just drove by and I texted him to come back that it was me who requested the ride, no answer and then he just canceled the trip, and I was still charged even though I was already waiting and he was the one who cancelled the trip. Tried to get my money back and I just received a credit which I think it’s really unfair, there’s no number or email to contact. Not using this app again. If I could give stars in negative numbers I would",2021-01-14 17:18:03
"Profiles dissapear from the app","https://itunes.apple.com/us/reviews/id813518865","RiderinNJ","3.439.10000","1","I haven’t been able to remove my account from a family profile in order to join another profile.This option should be fixed for all the riders. In my case I work for different families and they all pay for my rides.",2021-01-14 16:10:06
"Guys","https://itunes.apple.com/us/reviews/id1165720481","JuanC2515","3.439.10000","1","I’m getting upset with this one day y’all be taking $22 and then another day u take money of me I don’t know what’s going on I’m will like my money back and I’m not using this app no more",2021-01-14 14:46:06
"Trobles with making several reservations ahead","https://itunes.apple.com/us/reviews/id1178662360","mobilsun77","3.439.10000","2","I’ve been using this application for a long time. Though the problem appeared in the end of December. I can’t plan the trips for several days ahead, I can’t make more than 1 reservation a day . I’m a regular customer I’ve been using your service for more than a year, making 2 trips per day. Though now I’m having big troubles with reserving. That’s why now I’m giving you only two stars. Once the problem is fixed I’ll return five starred assessment",2021-01-14 09:41:45
"Update 14/01/2021: Support is horrible","https://itunes.apple.com/us/reviews/id728421148","Guero85","3.439.10000","1","Been dealing with Uber support for over a week and it’s like a robot. Same response for them removing Family Profile and not realizing it.

Now it’s been over a month and they still haven’t realized Family Profile is missing.",2021-01-14 06:25:40
"Uber eats","https://itunes.apple.com/us/reviews/id678577127","Angelina Williams","3.439.10000","1","I used uber eats and they robbed me 4 times I never received my money back and I never got the food.0/5 I do not recommend.",2021-01-14 00:27:56
"No actual customer service","https://itunes.apple.com/us/reviews/id188194916","Look on the bright side","3.439.10000","3","I like uber and used to use it frequently when we were allowed to go out. I have had so many issues recently with the app deleting my payment methods, or not allowing me to schedule a pickup. When you go on the app or website there’s no actual option for speaking to representative. It’s all just quick links. Seems like they don’t actually have a desire to help a customer in need.",2021-01-13 22:07:55
"This site is horrible!!!","https://itunes.apple.com/us/reviews/id1243701497","Katlaydee","3.439.10000","1","How do I delete my account, all I wanted to do is check a price from here to there, ... have a feeling I may have a $200+ charge!!  I have tried everything.
Please help... after paying $10 to go less than 1 mile, the driver was going to let me at this store that was very busy, (normally not!) so I felt I had to slide him more $$ like $12, plus tip on my card!  I had several ppl say “next time CALL ME!!!” lol, yeah, next time I will walk... <U+0001F92C>",2021-01-13 10:48:06
"Fix this","https://itunes.apple.com/us/reviews/id624568446","mlq928","3.439.10000","3","There should be a way to reject your driver as a customer. That creepy dude shouldn’t be able to pick me up every time I’m in the area.",2021-01-13 01:37:15
"Unavailable","https://itunes.apple.com/us/reviews/id1138516060","ashleydndbaldh","3.439.10000","3","Kinda left me stranded saying they can’t kind a car for me for over an hour , had to download lyft",2021-01-12 22:32:16
"Family Profile not working","https://itunes.apple.com/us/reviews/id145942866","PuroMoreno","3.439.10000","1","App was great - very convenient for getting around. However, I set up a family profile to cover the rides of my loved ones. Now I cannot access the family profile on my app. I’ve been looking for a customer service rep to speak to - only to be told to go to the help center, which instructs me to look in settings for the family profile tab - which does not exist. What is going on? This is frustrating beyond belief.",2021-01-12 17:07:35
"Far ubers","https://itunes.apple.com/us/reviews/id500958492","BritnaeS","3.439.10000","1","For whatever reason every morning uber keeps sending me ubers that are   Almost 20 minutes away do not use this app use lyft at-least they will send a ride that a reasonable amount of time away",2021-01-12 13:27:22
"Awesome app but bad technical support","https://itunes.apple.com/us/reviews/id204914917","Andyman75","3.439.10000","3","While the application is really awesome and helpful the developer’s team has to to do a better job in supporting the customers when there is a bug in the app. I have been messaging the Uber team for few weeks now informing them that there is a problem with the family profiles on iPhones and all what I get from them: we are working on it!! Last week I sent another message and the support team sent me the instructions on how to use the family profile!! When I sent them the previous conversations, they replied back that they have a problem!! You have just released a new update but no fix.",2021-01-12 04:50:14
"Worst customer support","https://itunes.apple.com/us/reviews/id466206179","Vanity Marrs","3.439.10000","1","Uber has literally been the worst customer support experience ever. I requested a ride to work, however even though the funds were taken and processed, my ride was never received, nor was I ever sent a driver. 
I reached out (the only way I could, via submitting a request online and reaching out via Twitter DM). Was told that there was nothing they could do based off their “refund policy”, even after I’ve confirmed that that funds were taken shut my ride was not received. They simply stated that next time “make sure to verify things” next time, and to set up extra security measures. I asked for a credit at least for the funds that were taken; and they stated again, per their refund policy, there’s nothing that can be done. 

Customer service was absolutely no help at all.",2021-01-12 00:02:02
"Used to be great, but..","https://itunes.apple.com/us/reviews/id266646778","Noturgurl","3.439.10000","1","I use to use Uber anywhere I go because it used to be cheaper than Lyft and I used to be subscribed to the get a set price for cheap  to get to one destination to another but the price got inflated  for the subscription and the ride cost. Now anytime I request a ride that’s typically $10 the drivers send a notification saying their price is $21 or $37 or even sometimes $50, which is ridiculous. They shouldn’t allow their drivers to change the pricing like that. I hate having to spend 15 minutes declining those ridiculously high prices to then be told no drivers available. I ended up downloading Lyft who is way cheaper and more reliable. I hate what Uber has become.",2021-01-12 00:01:26
"Give honest and accurate prices","https://itunes.apple.com/us/reviews/id427029494","Danijscott1986","3.439.10000","1","I live in LA. Your new system of telling customers there price will be between two amounts and then your drivers offering an amount this is ALWAYS above your own estimation, is absolute garbage. It’s dishonest of you to tell people prices that aren’t real. Either get rid of the feature or tell your drivers to be more realistic. You’re wasting everyone’s time.",2021-01-11 23:31:51
"Wonderful driver and I can’t tip them!!","https://itunes.apple.com/us/reviews/id243712951","Littlesongofthenorth","3.439.10000","1","I cannot tip in app at all without error messages, so no tip for my great driver. I was ready to contact support, but it is difficult to find a way to contact Uber for customer service. No phone number, no email, and the help section of the app is just help articles. Not using if it won’t let me help these drivers make the money they deserve!",2021-01-11 22:21:40
"Uber is trash now","https://itunes.apple.com/us/reviews/id552671412","mavicmenace","3.434.10005","1","The latest update requiring people to take photos of themselves in masks is the reason for bad review. In some places of the US, masks aren’t worn, enforced, or required. Yet, Uber does not take this in to account and requires any riders to show proof of wearing a mask, via photo verify, prior to booking a ride. Account closed and app deleted.",2021-01-11 12:25:07
"Uber Pass","https://itunes.apple.com/us/reviews/id558471354","Mikakadances","3.434.10005","2","I am being charged for an Uber pass that I didn’t even sign up for. I’ve tried multiple time to contact this company and I’ve had no solution to my problem. This is ridiculous! It should not be that hard to cancel a subscription or to get in touch with someone who would be able to solve the problem. Highly unsatisfied with this app.",2021-01-11 07:47:42
"The Time frames are a lie.","https://itunes.apple.com/us/reviews/id288880901","Laeiou","3.434.10005","1","Also the “peak” times and most of their rates are artificially inflated. Good luck getting any service from the corporation.",2021-01-11 04:49:47
"Was attacked and charged for ride wasn’t in","https://itunes.apple.com/us/reviews/id643223149","jchiillin","3.434.10005","1","I was waiting for my uber and was attacked and had my phone stolen. I was still charged for the uber and when I contacted support I was told that if I would not receive a refund and told “please be aware excessive or false refund and adjustment requests violate our refund policies and may result in the denial of future requests.” You think they would have some sympathy for someone who was attacked waiting for them to arrive.",2021-01-11 02:13:36
"Awful","https://itunes.apple.com/us/reviews/id554068289","jejshsbb","3.434.10005","1","Don’t waste your time with this app. They will not protect your privacy or security. They literally do not care. I went back and forth with Uber support when my account got hacked and all they did was send me the same scripted responses over and over. Eventually they stopped responding. I had to call the bank and cancel my card since Uber didn’t care to help me. Now theres someone out there using my name when they get Ubers. I could go on about horrible experiences with Uber. Just get Lyft, it’s FAR better.",2021-01-11 02:01:18
"won’t let me put payment method","https://itunes.apple.com/us/reviews/id951419807","erb4l","3.434.10005","1","how am I supposed to used this if I can’t put a payment method? <U+0001F44E><U+0001F3FD>",2021-01-11 01:01:52
"Uber","https://itunes.apple.com/us/reviews/id625668182","uber uber uberCustomer","3.434.10005","1","Y’all have to get more reliable with y’all workers they’re not coming on time are being responsible with my time so can y’all please fix this and stop charging me for canceling fees if the Uber is dropping off another person he/she is not on the way they are dropping off another person. So please fix this",2021-01-11 00:31:36
"Always showing wrong time and charge people money","https://itunes.apple.com/us/reviews/id614478790","hansom0908","3.434.10005","2","The time difference can be more then 10 mins, but continue showing wrong time estimate and charge people money",2021-01-11 00:16:02
"Wait times","https://itunes.apple.com/us/reviews/id955712604","ashleyc1994","3.434.10005","2","Dude.. what is up with the wait times? I’m in Tulsa. It used to be so quick and easy to get an Uber. Now it takes 15-20 for a driver to get here when most drivers were usually 3-5 mins away.
I’ve heard you guys cut the drivers pay for the prime time hours or something? So now you’re scaring off the drivers? The lack of drivers is insane, I’ve never had a hard time getting an Uber before this.",2021-01-10 21:12:32
"3star","https://itunes.apple.com/us/reviews/id1003844384","eaz crash","3.434.10005","3","The app is very annoying it’s constantly moving my pick up spots even tho I have it programmed in. Drivers are never available unless you choose the more expensive option. And you can’t schedule a ride so u have to order and wait instead of having a car ready wen you are",2021-01-10 20:07:33
"Still can’t add additional gift cards","https://itunes.apple.com/us/reviews/id112556417","Neonepie","3.434.10005","1","It has been well over a year since my initial complaint. I have about $2 in gift card balance on my account. I bought another gift card to load onto the account, but I don’t have the option to add it, just to view the balance. There have been countless app updates since then with no fix. I’ve ask many times for help with this issue, and all I get is the same instructions over and over, which DO NOT WORK. I have sent screenshots, I have exchanged emails, and more than a year later, this STILL is not fixed??? What a terrible company and a terrible app. I’d rate 0 if I could.",2021-01-10 18:20:16
